Significante;Frecuencia_Historica;Fragmento_Crudo;Logica_Maquina;Prompt_Visual;Imagen_Backup
Ética Pública;Illia - Asunción (1963);"Vengo a ofrecerles honestidad, austeridad y conducta. La decencia es la única revolución posible en este momento.";Compromiso con la transparencia, honestidad y rechazo a la corrupción institucional. El sistema activa el protocolo de 'Manos Limpias'.;Arturo Illia con diseño minimalista suizo, líneas limpias rojas y blancas, concepto de transparencia y austeridad;https://upload.wikimedia.org/wikipedia/commons/3/30/Arturo_Umberto_Illia.jpg
Democracia;Alfonsín - Parque Norte (1985);"Con la democracia no solo se vota, con la democracia se come, se cura y se educa.";Defensa activa de las instituciones democráticas, participación popular y libertades civiles. La democracia como sistema de vida, no solo electoral.;Raúl Alfonsín alzando las manos ante una multitud, estética de los 80, colores neón rojo y blanco, aura de esperanza;https://upload.wikimedia.org/wikipedia/commons/1/1a/Raul_Alfonsin_presidencia.jpg
Juventud;Manes - Acto Ferro (2021);"¡Adelante los que quedan! Den el paso. No renuncien a la Argentina, porque la Argentina no renuncia a ustedes.";Interpelación específica hacia la juventud como sujeto clave de la transformación política y social. Activación del 'Motor de Futuro'.;Estética Cyberpunk futurista, jóvenes con banderas rojas y blancas mirando al horizonte digital, texto: ADELANTE;https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Acto_de_cierre_de_campa%C3%B1a_de_la_UCR_2021.jpg/800px-Acto_de_cierre_de_campa%C3%B1a_de_la_UCR_2021.jpg
Reparación Nacional;Yrigoyen - Mensaje (1916);"La reparación es el mandato supremo. Venimos a terminar con el régimen falaz para devolver a la Nación su verdad.";Idea de restaurar un orden social justo, equitativo y democrático frente a injusticias históricas. Reinicio del sistema moral.;Un mapa de Argentina formándose con píxeles rojos y blancos, estética de reconstrucción, tipografía antigua que dice LA CAUSA;https://upload.wikimedia.org/wikipedia/commons/4/46/Hip%C3%B3lito_Yrigoyen_1916.jpg
Sacrificio;Alem - Testamento (1896);"¡Que se rompa pero que no se doble! He luchado por el bien de mi patria y la libertad de mis conciudadanos.";Idea de compromiso ético y personal extremo por ideales políticos y democráticos. La intransigencia como firewall moral.;Retrato de Leandro N. Alem estilo grabado antiguo 1890, alto contraste rojo y blanco, efecto glitch digital, estética de resistencia;https://upload.wikimedia.org/wikipedia/commons/a/a2/Leandro_N._Alem_-_1890s.jpg
Unidad Nacional;Balbín - Despedida a Perón (1974);"Este viejo adversario despide a un amigo. La unidad nacional está por encima de las facciones.";Apelación a la cohesión social y política frente a crisis institucionales y sociales graves. Protocolo de 'Pacto de Moncloa' argentino.;Dos manos estrechándose (una peronista, una radical) formando la bandera argentina, estilo poster político vintage;https://upload.wikimedia.org/wikipedia/commons/e/eb/Balbin_y_Peron.jpg
Justicia Social;Larralde - Constitución del 57;"El hombre no es libre si tiene hambre. La democracia social es el contenido real de la libertad política.";Distribución equitativa de recursos económicos y oportunidades sociales para todos. El software socialdemócrata del sistema.;Una balanza equilibrada con espigas de trigo, estilo constructivista ruso pero con colores rojo y blanco radical;https://upload.wikimedia.org/wikipedia/commons/6/6e/Crisologo_Larralde.jpg
Institucionalidad;Alvear - Discurso de Gestión (1922);"El radicalismo es la fuerza de la Constitución. Gobernar es respetar la ley y administrar con eficiencia.";Respeto a las instituciones democráticas, Constitución Nacional y legalidad republicana. Estabilidad del sistema operativo.;Una columna griega clásica sosteniendo un techo digital rojo, estética vaporwave política, orden y progreso;https://upload.wikimedia.org/wikipedia/commons/0/03/Marcelo_T_de_Alvear.jpg
Constitucionalismo Ético;De la Rúa - Asunción (1999);"Seré el guardián de las instituciones. La ley es el único camino para el desarrollo y la paz.";Fuerte legitimidad basada en la Constitución y los valores éticos republicanos. La ley como único algoritmo válido.;Un libro de la Constitución brillando con luz propia en un escritorio oscuro, estética solemne;https://upload.wikimedia.org/wikipedia/commons/6/62/Fernando_de_la_Rua_con_bast%C3%B3n_presidencial.jpg
Cambio y Renovación;Manes / Lousteau - Evolución;"No venimos a administrar la decadencia, venimos a cambiar la matriz cognitiva de la Nación.";Renovación política y social frente a la corrupción, inmovilismo y decadencia institucional. Actualización de software obligatoria.;Un cerebro digital conectado al mapa de Argentina, redes neuronales rojas y blancas, concepto de Evolución;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Facundo_Manes_en_2021.jpg/640px-Facundo_Manes_en_2021.jpg
